id,titleEn,titleTe,author,album,category,ragam,language,posted,url,teluguChars,englishChars
159,saswathaa mynadhi neevu naayada,శాశ్వాతామైనదీ నీవు నా యెడ చూపినా కృప,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/159,525,0
160,siluva chentha cherina nade,సిలువ చెంత చేరిననాడు కలుషములను కడిగివేయు,,,Good Friday,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/160,542,0
161,stothra rupamagu krotha,స్తోత్రరూపమగు క్రొత్త గీతంబులన్ నా నోటనుంచెను నా యేసయ్యా,,,New Year,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/161,698,0
162,sthuthi yagamu na yesuke,స్తుతి యాగము నా యేసుకే అర్పించెదను ఎల్లప్పుడు,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/162,661,0
163,sthuthinchedanu stuthinchedanu,స్తుతించెదనుస్తుతించెదనూ,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/163,870,0
164,sthuthincheda nee namam,స్తుతియించెదా నీ నామం దేవా అనుదినం,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/164,351,0
165,,వందనం బొనర్తుమో ప్రభో ప్రభో,,andhra Kristava Keerthanalu,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/165,757,0
166,viswasa vanithalamu,విశ్వాస వనితలము ప్రభు యేసు ముద్రికలం,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/166,605,0
167,yehova naa moralalinchenu,యెహోవా నా మొర లాలించను దన మహా దయనుననుగణీంచెను,,"andhra Kristava Keerthanalu , trahimam",,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/167,755,0
168,yehova ye naa kaapariga,యెహోవాయే నా కాపరిగా నాకేమి కొదువగునూ,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/168,503,0
169,yese na parihaari,యేసే నా పరిహారి ప్రియ యేసే నా పరిహారి,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/169,683,0
